problem,run,trial,accuracy,n_seen,program
trs.waves.1.c005,0,6,1,1617,".(C var13_) = var13_;"
trs.waves.1.c005,0,7,1,1009,".(C var13_) = var13_;"
trs.waves.1.c005,0,8,1,529,".(C var13_) = var13_;"
trs.waves.1.c005,0,9,1,265,".(C var13_) = var13_;"
trs.waves.1.c005,0,10,1,225,".(C var13_) = var13_;"
trs.waves.1.c005,0,11,1,145,".(C var13_) = var13_;"
trs.waves.1.c006,3,1,0,17,"C = TAIL;"
trs.waves.1.c006,3,2,1,22041,"C = .(CONS .(DIGIT 7));"
trs.waves.1.c006,3,3,1,20945,"C = .(CONS .(DIGIT 7));"
trs.waves.1.c006,3,4,1,10393,"C = .(CONS .(DIGIT 7));"
trs.waves.1.c006,3,5,1,2273,"C = .(CONS .(DIGIT 7));"
trs.waves.1.c006,3,6,1,1129,"C = .(CONS .(DIGIT 7));"
trs.waves.1.c006,3,7,1,865,"C = .(CONS .(DIGIT 7));"
trs.waves.1.c006,3,8,1,441,"C = .(CONS .(DIGIT 7));"
trs.waves.1.c006,3,9,1,297,"C = .(CONS .(DIGIT 7));"
trs.waves.1.c006,3,10,1,305,"C = .(CONS .(DIGIT 7));"
